DataFrame,Pair,Count,Percentage (%),Total Rows
Morn,"(9, 2)",71,4.51,1575
Morn,"(0, 5)",69,4.38,1575
Morn,"(5, 3)",66,4.19,1575
Morn,"(3, 5)",66,4.19,1575
Morn,"(1, 5)",60,3.81,1575
Eve,"(5, 4)",65,4.13,1575
Eve,"(7, 4)",65,4.13,1575
Eve,"(9, 7)",63,4.0,1575
Eve,"(5, 6)",60,3.81,1575
Eve,"(3, 1)",59,3.75,1575
Mon,"(7, 4)",22,4.89,450
Mon,"(9, 3)",20,4.44,450
Mon,"(2, 8)",20,4.44,450
Mon,"(3, 3)",19,4.22,450
Mon,"(7, 3)",19,4.22,450
Tues,"(3, 1)",21,4.67,450
Tues,"(7, 5)",21,4.67,450
Tues,"(9, 9)",20,4.44,450
Tues,"(5, 0)",20,4.44,450
Tues,"(5, 3)",20,4.44,450
Wed,"(2, 1)",28,6.22,450
Wed,"(3, 5)",25,5.56,450
Wed,"(8, 3)",22,4.89,450
Wed,"(9, 5)",22,4.89,450
Wed,"(3, 1)",22,4.89,450
Thur,"(1, 1)",25,5.56,450
Thur,"(0, 8)",25,5.56,450
Thur,"(5, 6)",24,5.33,450
Thur,"(9, 2)",23,5.11,450
Thur,"(5, 1)",20,4.44,450
Fri,"(9, 5)",25,5.56,450
Fri,"(9, 9)",24,5.33,450
Fri,"(0, 5)",23,5.11,450
Fri,"(7, 6)",22,4.89,450
Fri,"(5, 4)",21,4.67,450
Sat,"(5, 8)",23,5.11,450
Sat,"(3, 7)",21,4.67,450
Sat,"(3, 5)",19,4.22,450
Sat,"(6, 8)",19,4.22,450
Sat,"(7, 2)",19,4.22,450
Sun,"(1, 8)",22,4.89,450
Sun,"(5, 0)",22,4.89,450
Sun,"(7, 7)",21,4.67,450
Sun,"(8, 8)",21,4.67,450
Sun,"(1, 9)",21,4.67,450
Mon M,"(2, 9)",14,6.22,225
Mon M,"(7, 3)",12,5.33,225
Mon M,"(9, 3)",12,5.33,225
Mon M,"(8, 5)",12,5.33,225
Mon M,"(5, 3)",11,4.89,225
Mon E,"(4, 0)",13,5.78,225
Mon E,"(8, 3)",13,5.78,225
Mon E,"(3, 0)",13,5.78,225
Mon E,"(7, 4)",12,5.33,225
Mon E,"(0, 0)",12,5.33,225
Tues M,"(5, 0)",15,6.67,225
Tues M,"(5, 3)",13,5.78,225
Tues M,"(1, 1)",12,5.33,225
Tues M,"(6, 9)",12,5.33,225
Tues M,"(1, 2)",11,4.89,225
Tues E,"(0, 8)",14,6.22,225
Tues E,"(7, 4)",14,6.22,225
Tues E,"(8, 8)",14,6.22,225
Tues E,"(3, 1)",13,5.78,225
Tues E,"(7, 5)",12,5.33,225
Wed M,"(2, 1)",16,7.11,225
Wed M,"(3, 5)",13,5.78,225
Wed M,"(3, 1)",13,5.78,225
Wed M,"(9, 2)",12,5.33,225
Wed M,"(6, 4)",12,5.33,225
Wed E,"(9, 5)",14,6.22,225
Wed E,"(8, 0)",13,5.78,225
Wed E,"(8, 3)",13,5.78,225
Wed E,"(2, 1)",12,5.33,225
Wed E,"(4, 6)",12,5.33,225
Thur M,"(0, 5)",15,6.67,225
Thur M,"(9, 5)",14,6.22,225
Thur M,"(0, 8)",14,6.22,225
Thur M,"(9, 2)",14,6.22,225
Thur M,"(4, 0)",13,5.78,225
Thur E,"(1, 1)",16,7.11,225
Thur E,"(3, 6)",13,5.78,225
Thur E,"(6, 6)",13,5.78,225
Thur E,"(5, 1)",13,5.78,225
Thur E,"(6, 1)",13,5.78,225
Fri M,"(9, 9)",16,7.11,225
Fri M,"(5, 3)",14,6.22,225
Fri M,"(5, 2)",13,5.78,225
Fri M,"(7, 6)",13,5.78,225
Fri M,"(9, 5)",13,5.78,225
Fri E,"(5, 6)",16,7.11,225
Fri E,"(5, 4)",13,5.78,225
Fri E,"(5, 1)",13,5.78,225
Fri E,"(2, 6)",13,5.78,225
Fri E,"(9, 5)",12,5.33,225
Sat M,"(9, 2)",14,6.22,225
Sat M,"(5, 4)",12,5.33,225
Sat M,"(5, 8)",12,5.33,225
Sat M,"(5, 0)",12,5.33,225
Sat M,"(7, 7)",11,4.89,225
Sat E,"(9, 0)",12,5.33,225
Sat E,"(3, 4)",12,5.33,225
Sat E,"(3, 7)",12,5.33,225
Sat E,"(1, 5)",11,4.89,225
Sat E,"(3, 5)",11,4.89,225
Sun M,"(7, 7)",13,5.78,225
Sun M,"(3, 2)",12,5.33,225
Sun M,"(8, 2)",12,5.33,225
Sun M,"(1, 2)",12,5.33,225
Sun M,"(0, 8)",12,5.33,225
Sun E,"(5, 4)",12,5.33,225
Sun E,"(8, 8)",12,5.33,225
Sun E,"(8, 9)",12,5.33,225
Sun E,"(4, 8)",12,5.33,225
Sun E,"(7, 2)",12,5.33,225
